magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.2741394,-0.03380005,0.47442177,26971000,2_6
0.2730417,-0.03287227,0.4719648,26992000,2_6
0.27594793,-0.03533474,0.4741996,27013000,2_6
0.27533287,-0.032093737,0.47421876,27036000,2_6
0.27620372,-0.03502188,0.47186917,27056000,2_6
0.27530336,-0.03517819,0.47160673,27076000,2_6
0.27340665,-0.034033045,0.47417742,27097000,2_6
0.2756685,-0.03587826,0.47202453,27119000,2_6
0.27558613,-0.033944666,0.4722603,27143000,2_6
0.27554077,-0.033671595,0.47395507,27163000,2_6
0.27444544,-0.03402261,0.47309485,27187000,2_6
0.2741807,-0.034987237,0.47189537,27207000,2_6
0.27410173,-0.033222422,0.47374937,27228000,2_6
0.27589297,-0.03543619,0.4724374,27248000,2_6
0.27571088,-0.03600989,0.47423872,27268000,2_6
0.27626863,-0.03540716,0.47339755,27291000,2_6
0.27415594,-0.033348735,0.47440466,27311000,2_6
0.27556723,-0.035098094,0.47337228,27331000,2_6
0.27579984,-0.03490054,0.47397023,27351000,2_6
0.27497834,-0.035993792,0.47192284,27371000,2_6
0.2739283,-0.03263733,0.47335118,27391000,2_6
0.27354607,-0.033996176,0.47436687,27411000,2_6
0.27303773,-0.03358465,0.4732297,27431000,2_6
0.27706736,-0.03295673,0.47268516,27451000,2_6
0.27433357,-0.03519779,0.4722724,27471000,2_6
0.27489147,-0.03468528,0.47421312,27492000,2_6
0.27603146,-0.03430308,0.47187948,27512000,2_6
0.2751706,-0.035005115,0.4732972,27535000,2_6
0.27435583,-0.03402527,0.4718882,27560000,2_6
0.27490392,-0.03171245,0.47598058,27580000,2_6
0.27280873,-0.0332468,0.47281998,27603000,2_6
0.27611357,-0.032115463,0.47451454,27623000,2_6
0.27537686,-0.03360173,0.4728437,27643000,2_6
0.27513707,-0.034028333,0.47446314,27667000,2_6
0.2740976,-0.03548758,0.47294578,27687000,2_6
0.27547616,-0.033158366,0.4724896,27708000,2_6
0.2754341,-0.034138586,0.47526297,27732000,2_6
0.2750485,-0.03522666,0.4737652,27755000,2_6
0.27479097,-0.03402591,0.47521603,27777000,2_6
0.27300385,-0.03390587,0.47127676,27799000,2_6
0.27490824,-0.03265404,0.47325236,27819000,2_6
0.27366963,-0.03456915,0.47355604,27843000,2_6
0.27378133,-0.034569126,0.4721913,27864000,2_6
0.27368462,-0.036730755,0.47327635,27888000,2_6
0.27444077,-0.034768995,0.47449034,27911000,2_6
0.2753974,-0.03503843,0.47361025,27932000,2_6
0.27325854,-0.035387438,0.47428915,27952000,2_6
0.27564672,-0.03289466,0.47415382,27973000,2_6
0.2737871,-0.03199968,0.47388688,27996000,2_6
0.2734001,-0.034339655,0.47351155,28021000,2_6
0.27472636,-0.033080652,0.47622102,28043000,2_6
0.27520275,-0.035627495,0.47323376,28063000,2_6
0.27538022,-0.03356758,0.47350025,28083000,2_6
0.27342302,-0.03373926,0.47447586,28103000,2_6
0.2742895,-0.03503772,0.47439063,28123000,2_6
0.27412164,-0.03469749,0.47335264,28143000,2_6
0.27581832,-0.03585693,0.47576532,28163000,2_6
0.2750495,-0.033549443,0.4731206,28183000,2_6
0.27365443,-0.03319166,0.47339857,28203000,2_6
0.27339384,-0.03326714,0.47290134,28223000,2_6
0.27578735,-0.03473351,0.47463813,28243000,2_6
0.2742013,-0.03554936,0.4744432,28267000,2_6
0.27521136,-0.03384158,0.47499308,28293000,2_6
0.27548763,-0.03568681,0.47437367,28316000,2_6
0.2753595,-0.035776496,0.47337943,28339000,2_6
0.27596378,-0.03453931,0.4727798,28359000,2_6
0.2739559,-0.035534795,0.47276267,28379000,2_6
0.2757216,-0.03379315,0.4726193,28399000,2_6
0.27438807,-0.03356791,0.47250828,28419000,2_6
0.27689376,-0.034916546,0.4746542,28439000,2_6
0.27382025,-0.0355439,0.4735702,28460000,2_6
0.27565083,-0.033215147,0.47321492,28483000,2_6
0.2765991,-0.033782493,0.4734315,28504000,2_6
0.27794856,-0.036127795,0.4721183,28532000,2_6
0.27664003,-0.03516148,0.47350177,28555000,2_6
0.27552074,-0.035247937,0.47160816,28576000,2_6
0.274664,-0.03519541,0.47244945,28596000,2_6
0.27733624,-0.03447305,0.47473514,28616000,2_6
0.27578515,-0.035021305,0.47256312,28636000,2_6
0.27617788,-0.03487816,0.4720996,28656000,2_6
0.27540433,-0.033782452,0.4727466,28681000,2_6
0.27447963,-0.035082735,0.4730366,28701000,2_6
0.27669546,-0.036125567,0.47280684,28724000,2_6
0.275202,-0.03505656,0.47212583,28748000,2_6
0.27806303,-0.034978423,0.4732545,28773000,2_6
0.27652967,-0.033022594,0.47200194,28796000,2_6
0.27803954,-0.0348314,0.4719386,28820000,2_6
0.27597448,-0.034949236,0.47086722,28843000,2_6
0.27651197,-0.033617534,0.473823,28864000,2_6
0.27603588,-0.035743337,0.4698065,28888000,2_6
0.27773044,-0.033639863,0.4738526,28911000,2_6
0.2779429,-0.034725286,0.47242227,28932000,2_6
0.27709174,-0.035412848,0.4716233,28955000,2_6
0.27674687,-0.03675942,0.47471854,28980000,2_6
0.2755745,-0.032918613,0.4730525,29001000,2_6
0.27817455,-0.035011787,0.47107825,29023000,2_6
0.2760737,-0.033476263,0.47025368,29044000,2_6
0.27716866,-0.034652207,0.4706861,29067000,2_6
0.27703074,-0.03420378,0.47131515,29088000,2_6
0.27645627,-0.03474943,0.4720795,29112000,2_6
0.27560887,-0.034371488,0.47335368,29133000,2_6
0.27880517,-0.035428133,0.47175908,29155000,2_6
0.2765436,-0.036228534,0.47157297,29180000,2_6
0.2760185,-0.034097057,0.4702979,29200000,2_6
0.2764592,-0.035260793,0.47113582,29224000,2_6
0.27614704,-0.035243522,0.47458395,29248000,2_6
0.27535468,-0.033628196,0.47274557,29268000,2_6
0.27636108,-0.035369124,0.47364455,29288000,2_6
0.27646142,-0.0342556,0.47204563,29308000,2_6
0.27660784,-0.035669938,0.4719188,29332000,2_6
0.2776972,-0.034677133,0.47199413,29355000,2_6
0.27465793,-0.03495721,0.47219393,29377000,2_6
0.27459428,-0.033222813,0.47266895,29400000,2_6
0.27636263,-0.033574574,0.47481862,29423000,2_6
0.2738508,-0.03542491,0.47332808,29448000,2_6
0.27760476,-0.034925904,0.47186485,29472000,2_6
0.27706978,-0.034661803,0.474094,29496000,2_6
0.27502307,-0.032160915,0.47208372,29516000,2_6
0.27786252,-0.033487998,0.4727046,29536000,2_6
0.2764168,-0.034816217,0.47388378,29556000,2_6
0.27835,-0.032791283,0.4733483,29580000,2_6
0.27801847,-0.03440944,0.47062945,29603000,2_6
0.2769222,-0.0352996,0.47217932,29623000,2_6
0.27654114,-0.032612976,0.4714884,29643000,2_6
0.27558288,-0.034186,0.4727872,29663000,2_6
0.27466673,-0.032691255,0.47069752,29683000,2_6
0.27652544,-0.030283973,0.47064057,29707000,2_6
0.2766696,-0.0304637,0.4719672,29728000,2_6
0.27544767,-0.034698624,0.47238454,29749000,2_6
0.2760813,-0.033110406,0.47268587,29772000,2_6
0.276251,-0.034285337,0.47193882,29792000,2_6
0.27684817,-0.03437749,0.47309273,29812000,2_6
0.27644244,-0.03342213,0.47192717,29833000,2_6
0.2752142,-0.0327575,0.47081208,29857000,2_6
0.2766032,-0.031939935,0.47092143,29879000,2_6
0.27538928,-0.03317891,0.47132674,29903000,2_6
0.27640373,-0.03349759,0.47293726,29928000,2_6
0.2746155,-0.03217993,0.47251606,29948000,2_6
0.27566472,-0.033504922,0.47376204,29968000,2_6
0.27533254,-0.032460485,0.471484,29988000,2_6
0.27555627,-0.035539135,0.47344205,30011000,2_6
0.27681935,-0.032089844,0.47329366,30032000,2_6
0.2744413,-0.03389498,0.47406578,30055000,2_6
0.27469006,-0.034787893,0.47236824,30075000,2_6
0.2747404,-0.03331306,0.4751614,30095000,2_6
0.27631754,-0.03367542,0.4734847,30120000,2_6
0.2758407,-0.033669367,0.4737422,30143000,2_6
0.27530295,-0.034543216,0.47314858,30163000,2_6
0.27453503,-0.035162084,0.47368926,30184000,2_6
0.27590266,-0.034457684,0.47353193,30208000,2_6
0.2736022,-0.033124536,0.47483796,30231000,2_6
0.27331337,-0.034365214,0.4720443,30251000,2_6
0.27665794,-0.032516208,0.47340366,30271000,2_6
0.27465072,-0.033299398,0.47281358,30293000,2_6
0.27580413,-0.034456003,0.4727628,30316000,2_6
0.2743511,-0.03407965,0.47323403,30340000,2_6
0.27443466,-0.034286804,0.4736975,30360000,2_6
0.27347237,-0.03497457,0.47449246,30380000,2_6
0.2739963,-0.034116965,0.47351572,30403000,2_6
0.2756312,-0.034101356,0.47269592,30423000,2_6
0.2752085,-0.035392262,0.4740033,30443000,2_6
0.27479234,-0.036043424,0.47181186,30463000,2_6
0.27469116,-0.034290314,0.4733079,30487000,2_6
0.27630988,-0.03456436,0.47272816,30508000,2_6
0.27519506,-0.03381744,0.47140694,30531000,2_6
0.2743496,-0.0333845,0.47580037,30551000,2_6
0.27619812,-0.032719698,0.4731127,30571000,2_6
0.27286965,-0.033910852,0.47437397,30592000,2_6
0.27482092,-0.033439867,0.47329292,30615000,2_6
0.2752763,-0.03453348,0.47239342,30636000,2_6
0.27480343,-0.034288663,0.47403058,30656000,2_6
0.27630925,-0.03429573,0.47429237,30681000,2_6
0.2756927,-0.032990698,0.47288528,30703000,2_6
0.27492434,-0.032163717,0.4730939,30723000,2_6
0.27572533,-0.03496742,0.47319427,30743000,2_6
0.27499157,-0.03465617,0.47253472,30763000,2_6
0.27609897,-0.03362944,0.47366244,30784000,2_6
0.2751003,-0.031789746,0.47145975,30808000,2_6
0.27435637,-0.03234525,0.4727279,30828000,2_6
0.27579623,-0.034783185,0.47361004,30853000,2_6
0.27574918,-0.034375217,0.471069,30877000,2_6
0.2749419,-0.03518307,0.47253105,30899000,2_6
0.2750744,-0.033605896,0.47382346,30919000,2_6
0.27679533,-0.03537224,0.4705332,30939000,2_6
0.27589035,-0.03549307,0.4710454,30960000,2_6
0.2756475,-0.033925768,0.4713071,30984000,2_6
0.2755118,-0.034235053,0.47413236,31007000,2_6
0.27634856,-0.03333475,0.47257334,31031000,2_6
0.2773758,-0.035047907,0.47154316,31051000,2_6
0.27581632,-0.03320705,0.47154886,31071000,2_6
0.27412033,-0.035942968,0.47150657,31092000,2_6
0.27604473,-0.033999726,0.47390205,31113000,2_6
0.27618855,-0.032712497,0.4739997,31135000,2_6
0.27472526,-0.03200998,0.472509,31156000,2_6
0.27651533,-0.03423158,0.4725422,31176000,2_6
0.27513438,-0.03295778,0.47313347,31197000,2_6
0.27397573,-0.03359837,0.47225896,31220000,2_6
0.27625322,-0.033203315,0.47296152,31243000,2_6
0.27373734,-0.034178056,0.47280908,31263000,2_6
0.27500463,-0.03367397,0.47237417,31288000,2_6
0.27440077,-0.03391093,0.47425205,31312000,2_6
0.27466747,-0.035477195,0.47298408,31332000,2_6
0.274581,-0.032461043,0.47377646,31352000,2_6
0.27518865,-0.03393326,0.47351083,31375000,2_6
0.27676544,-0.034021486,0.47405463,31395000,2_6
0.27413556,-0.032536354,0.47295943,31419000,2_6
0.27505732,-0.034126323,0.47456977,31439000,2_6
0.2753531,-0.032919668,0.4733978,31460000,2_6
0.2745695,-0.035341457,0.47356832,31483000,2_6
0.27544203,-0.034455366,0.47381505,31503000,2_6
0.2734136,-0.03488986,0.47333795,31523000,2_6
0.27455637,-0.035674125,0.47329092,31543000,2_6
0.27256376,-0.035010036,0.4754592,31568000,2_6
0.27548808,-0.033033356,0.4740962,31588000,2_6
0.2761273,-0.03578263,0.47438002,31608000,2_6
0.27570346,-0.032705616,0.47519603,31631000,2_6
0.273883,-0.03365982,0.4719998,31653000,2_6
