timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
40327000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40832000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41340000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41843000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42352000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42860000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43368000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43871000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44372000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44620000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44632000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
45136000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
45636000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
46144000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
46644000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
47152000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
47663000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
48164000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
48664000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
49173000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
49659000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
50152000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
50664000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
