timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9952000,9952000,0.9999992,5.091065e-05,4.2442127e-05,-0.0013048699,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9999000,9999000,0.9999992,3.7788523e-05,4.5664485e-05,-0.001273183,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10052000,10052000,0.9999992,4.9048384e-05,4.7967966e-05,-0.0012505011,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10100000,10100000,0.9999992,4.2575706e-05,4.1483498e-05,-0.0012408163,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10148000,10148000,0.99999934,4.5718974e-05,4.0790794e-05,-0.0012226229,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10205000,10205000,0.99999934,5.1219224e-05,4.086015e-05,-0.0012165975,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10248000,10248000,0.99999934,5.403111e-05,2.9217472e-05,-0.0012027492,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10299000,10299000,0.99999934,5.217582e-05,3.1889875e-05,-0.0012085319,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10352000,10352000,0.99999934,4.4522116e-05,3.077698e-05,-0.0012140551,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10401000,10401000,0.99999934,5.727498e-05,2.2899718e-05,-0.0012181591,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10452000,10452000,0.99999934,6.140289e-05,1.9200024e-05,-0.0012105787,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10504000,10504000,0.99999934,6.0331797e-05,1.8523706e-05,-0.0011967899,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10548000,10548000,0.99999934,5.862921e-05,1.5809235e-05,-0.0011611356,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10599000,10599000,0.99999934,5.1028597e-05,-6.4700084e-06,-0.0011402182,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10652000,10652000,0.99999934,5.9989696e-05,-1.8592884e-05,-0.0011440238,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10704000,10704000,0.99999934,5.5091e-05,-3.4918074e-05,-0.0011405693,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10753000,10753000,0.99999934,5.416934e-05,-5.5407374e-05,-0.0011456485,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10800000,10800000,0.99999946,5.6650886e-05,-5.6018198e-05,-0.0011237643,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10852000,10852000,0.99999946,7.127555e-05,-6.2741725e-05,-0.0011147611,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
