timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
28505000,28505000,1311004,1311004,1.7319075e-05,1.2027059e-06,-5.1995626e-06,-1.5860298e-05,2.8662564e-05,-0.05904198,6000,6000,0,0
28996000,28996000,1311004,1311004,1.1370076e-05,1.1328024e-05,5.3211584e-06,3.5823723e-05,7.100317e-05,-0.048931435,5000,5000,0,0
29500000,29500000,1311004,1311004,-2.2007347e-05,-1.060798e-05,1.8533264e-06,-3.6950612e-05,-6.500298e-06,-0.039002545,4000,4000,0,0
30000000,30000000,1311004,1311004,6.8509985e-06,-2.0645255e-05,-2.8298464e-06,-7.9079546e-05,-4.4716577e-05,-0.039470773,4000,4000,0,0
30500000,30500000,1311004,1311004,-4.394869e-06,1.96165e-06,-5.9468566e-06,-7.2952334e-06,-3.5412548e-05,-0.04903884,5000,5000,0,0
31003000,31003000,1311004,1311004,-3.5213598e-06,-2.7584906e-06,2.8062293e-06,8.330813e-05,-1.1611491e-05,-0.03916771,4000,4000,0,0
31504000,31504000,1311004,1311004,-2.554991e-05,4.1383628e-05,2.8211896e-06,5.5717024e-05,-9.989187e-05,-0.06855645,7000,7000,0,0
32004000,32004000,1311004,1311004,-1.1632245e-05,-1.292781e-05,3.7680752e-06,-5.7797184e-05,-2.3249922e-05,-0.048792146,5000,5000,0,0
32501000,32501000,1311004,1311004,2.8164047e-06,-1.2676724e-05,-4.078335e-06,8.62866e-05,3.431898e-06,-0.04924199,5000,5000,0,0
33000000,33000000,1311004,1311004,-3.4520044e-06,9.273276e-06,2.4910594e-06,-0.000117641925,1.9268982e-05,-0.039384324,4000,4000,0,0
33500000,33500000,1311004,1311004,-2.481051e-05,1.933365e-05,3.7468274e-06,-7.874931e-05,0.000120635385,-0.049053688,5000,5000,0,0
34000000,34000000,1311004,1311004,-3.1038871e-06,9.404557e-06,-2.0166567e-06,-3.721858e-05,-2.8396293e-05,-0.03944989,4000,4000,0,0
34500000,34500000,1311004,1311004,3.8478876e-05,-2.9684006e-05,-1.4544718e-06,1.48649e-05,-1.9584927e-06,-0.048932314,5000,5000,0,0
35000000,35000000,1311004,1311004,-9.8000955e-06,-3.162528e-05,1.623908e-06,1.0957298e-05,9.140333e-05,-0.03895228,4000,4000,0,0
35504000,35504000,1311004,1311004,-1.6445369e-05,5.3062035e-05,-1.1381297e-06,-0.00012850644,1.8290033e-05,-0.06848313,7000,7000,0,0
36003000,36003000,1311004,1311004,-3.7744433e-06,1.0165409e-05,4.22961e-06,-0.000114451366,1.0124743e-05,-0.03907528,4000,4000,0,0
36504000,36504000,1311004,1311004,3.6651512e-05,7.901456e-06,6.136419e-07,-0.000115289295,0.0001508199,-0.04895066,5000,5000,0,0
37000000,37000000,1311004,1311004,-4.1078006e-06,-2.1499924e-05,3.7741931e-06,-6.484978e-05,-1.2951602e-06,-0.039083205,4000,4000,0,0
37501000,37501000,1311004,1311004,-5.4016906e-05,-3.538119e-05,-1.4831371e-06,-1.8712768e-06,0.00020089227,-0.058880802,6000,6000,0,0
38000000,38000000,1311004,1311004,2.0089008e-05,9.503681e-06,1.2487552e-06,-0.000106205836,6.061128e-05,-0.039483514,4000,4000,0,0
38503000,38503000,1311004,1311004,1.5122585e-05,1.673345e-05,2.6858127e-06,0.00013653388,-7.1499953e-06,-0.058637254,6000,6000,0,0
39003000,39003000,1311004,1311004,-4.3088636e-05,-3.1318665e-05,7.179295e-06,2.9525368e-06,-5.835612e-05,-0.068649635,7000,7000,0,0
39503000,39503000,1311004,1311004,-1.6577378e-05,1.4596915e-05,-4.5578868e-06,5.343744e-05,8.0220925e-05,-0.03924199,4000,4000,0,0
39996000,39996000,1311004,1311004,-1.5962049e-05,2.0744787e-05,-3.2604428e-06,0.00014685109,-4.936717e-05,-0.049411315,5000,5000,0,0
40499000,40499000,1311004,1311004,-3.32413e-05,3.1448755e-05,-2.1279977e-06,7.627968e-05,-4.4493736e-05,-0.029261246,3000,3000,0,0
41003000,41003000,1311004,1311004,-8.397142e-07,4.786764e-07,-5.2961303e-07,7.7735305e-05,-3.42655e-05,-0.03917183,4000,4000,0,0
41503000,41503000,1311004,1311004,-3.8925614e-06,3.0232789e-06,-3.930618e-06,4.2101616e-05,6.376567e-05,-0.03909155,4000,4000,0,0
42005000,42005000,1311004,1311004,-4.9618675e-06,2.197166e-06,6.1078777e-06,-0.000112065754,6.0632487e-05,-0.05831523,6000,6000,0,0
42503000,42503000,1311004,1311004,-1.6236987e-06,2.017733e-05,2.5989768e-06,2.6601158e-05,5.491807e-05,-0.039235517,4000,4000,0,0
43004000,43004000,1311004,1311004,-3.139861e-05,-1.11108275e-05,8.083974e-06,-7.764818e-05,1.5628211e-05,-0.049176905,5000,5000,0,0
43500000,43500000,1311004,1311004,-5.316161e-06,-8.055916e-06,3.125207e-06,-5.57194e-05,-3.596496e-06,-0.039206818,4000,4000,0,0
