timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
3604000,3604000,0,nan,nan,0.0019367482,-0.0006292116,0.03387587,0.0,0.0,0.0,0.00428367,-0.0034850033,0.021675983,0.011934927,-5.7867048e-05,1.3878525e-06,0.0,0.03232218,-0.017494317,-0.038485974,0.124492906,0.124535985,nan,0.1,0.54654396,0.77071226,1.1680645,0.54811037,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3700000,3700000,0,nan,nan,0.0020431827,-0.0010533729,0.03432418,0.0,0.0,0.0,0.0044114627,-0.004281692,0.022880828,0.012592338,-5.7867048e-05,1.3878525e-06,0.0,-0.007771041,-0.017742714,0.0016912817,0.12449238,0.124535985,nan,0.1,0.6507757,0.77466196,1.3091897,0.54602885,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3800000,3800000,0,nan,nan,0.0021358642,-0.0014793238,0.034486998,0.0,0.0,0.0,0.004048097,-0.004953524,0.021650014,0.010557067,-5.7867048e-05,1.3878525e-06,0.0,-0.028443972,-0.02024102,0.028895212,0.12449901,0.124535985,nan,0.1,0.53579414,0.7780726,1.1141472,0.5434046,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3899000,3899000,0,nan,nan,0.0020999294,-0.0018084367,0.03429584,0.0,0.0,0.0,0.0032214941,-0.0041870135,0.020442462,0.008347562,-5.7867048e-05,1.3878525e-06,0.0,0.009497649,0.0016366137,0.010889954,0.12450937,0.124535985,nan,0.1,0.6345879,0.78092676,1.2418044,0.54030204,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4001000,4001000,0,nan,nan,0.0020794778,-0.0020337643,0.034738883,0.0,0.0,0.0,0.0035338781,-0.0036347145,0.019259105,0.007056389,-5.7867048e-05,1.3878525e-06,0.0,-0.0015536807,0.01009542,-0.026272608,0.12453039,0.124535985,nan,0.1,0.52317494,0.8035936,1.0628254,0.54564035,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4092000,4092000,0,nan,nan,0.0019696045,-0.0020885395,0.034397133,0.0,0.0,0.0,0.0026567534,-0.0038834524,0.019053327,0.006048779,-5.7867048e-05,1.3878525e-06,0.0,0.008831794,-0.0076252404,0.043961216,0.124514446,0.124535985,nan,0.1,0.6068101,0.80111384,1.1692506,0.5404018,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4199000,4199000,0,nan,nan,0.0018623696,-0.0021304595,0.033519696,0.0,0.0,0.0,0.0028576711,-0.0032386626,0.01893529,0.004686336,-5.7867048e-05,1.3878525e-06,0.0,0.016812818,-0.016217547,-0.01142267,0.12450993,0.124535985,nan,0.1,0.5105033,0.8069812,1.0181514,0.537818,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4299000,4288000,0,nan,nan,0.0017693514,-0.002006432,0.032339584,0.0,0.0,0.0,0.003266681,-0.0025949972,0.020044155,0.00435918,-5.7867048e-05,1.3878525e-06,0.0,0.008021204,-0.033651546,-0.03042072,0.12451395,0.124535985,nan,0.1,0.5900708,0.80358887,1.1168648,0.532082,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4394000,4383000,0,nan,nan,0.0017820119,-0.0019744062,0.031502906,0.0,0.0,0.0,0.0038819045,-0.0031374479,0.019570349,0.0028289985,-5.7867048e-05,1.3878525e-06,0.0,0.017787933,0.0015267275,-0.018331623,0.1245214,0.124535985,nan,0.1,0.68101096,0.7995031,1.2240437,0.52596915,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4497000,4484000,0,nan,nan,0.0017494874,-0.0018592621,0.031486034,0.0,0.0,0.0,0.0032314039,-0.0033357854,0.017906323,0.0011834024,-5.7867048e-05,1.3878525e-06,0.0,-0.012479801,0.0015659214,-0.050753355,0.124511845,0.124535985,nan,0.1,0.56975555,0.82070714,1.0645779,0.53036743,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
