x,y,z,vx,vy,vz,ax,ay,az,DTMode
0.037489746,-0.25337142,-0.7820699,-0.01677026,-0.034214858,0.013637593,1.2127541,-1.0999588,1.0899299,2_6
0.036546227,-0.25335747,-0.78140384,-0.016449852,-0.020809775,0.0022890714,-1.0187247,-0.5010402,-1.1482416,2_6
0.03600731,-0.25245413,-0.78090835,-0.012058712,-0.0075221416,0.003252647,-0.7448736,0.07185966,-0.885326,2_6
0.0358487,-0.2509096,-0.78036106,-0.00831759,-0.007594678,0.008917324,-0.001735555,-0.95849276,0.3889927,2_6
0.03579288,-0.2486032,-0.78002965,-0.006038949,0.00725256,0.00504769,-0.52093023,0.94430834,0.2057563,2_6
0.035961445,-0.24516805,-0.7803076,0.0023990734,0.019464703,0.00044118753,1.5197698,-0.33019516,1.2765933,2_6
0.036296967,-0.24170518,-0.780885,-0.0015410463,0.021639006,-0.006626868,-0.9991109,-1.0354378,-0.5345035,2_6
0.036734685,-0.23715764,-0.7817844,0.0037445629,0.037133943,-0.0072582397,0.36069956,1.3232216,0.14803784,2_6
0.037123803,-0.23269948,-0.78338116,0.009082265,0.030938786,-0.014540874,1.586677,-1.2358992,0.48131177,2_6
0.037586454,-0.2284968,-0.7854033,0.004046911,0.02894529,-0.020602206,-0.49469745,-0.8869438,-0.10259453,2_6
0.03793753,-0.22444399,-0.78739804,0.0048444746,0.031737804,-0.0147183845,-0.7902882,1.2672592,-0.13724042,2_6
0.038162816,-0.22018646,-0.7890998,0.0014582231,0.039654374,-0.014292294,-1.137136,0.2191627,-0.07344876,2_6
0.03812854,-0.21638082,-0.7905062,0.0028827195,0.031545755,-0.008399935,-0.25712508,-0.70499825,0.64379257,2_6
0.03762413,-0.21262261,-0.791334,0.0037609534,0.04585923,-0.0072400863,0.8432143,0.9228551,0.2938401,2_6
0.036682047,-0.20856859,-0.79211664,-0.0037400338,0.044491854,-0.0096646715,0.23994292,-0.37829202,-0.24024968,2_6
0.035186753,-0.20478357,-0.7927072,-0.0048549725,0.03572344,-0.010919524,0.12234464,-0.49477145,-0.57868975,2_6
0.033187427,-0.20126683,-0.7932492,-0.010759015,0.040355936,-0.0068266494,-0.60164505,0.73234004,0.07843863,2_6
0.030748542,-0.19807528,-0.7936956,-0.009696635,0.035326146,-0.008012901,0.9269225,-0.3492952,0.3062524,2_6
0.027592406,-0.19544557,-0.7946103,-0.020361554,0.020649966,-0.014077381,-1.4347411,-0.7942565,-0.32268745,2_6
0.02467205,-0.19406061,-0.79524404,-0.016405627,0.016986148,-0.0036741109,0.31743068,1.2251948,1.177611,2_6
0.02157568,-0.19439267,-0.7957178,-0.015981033,-0.0021826846,-0.010724412,-0.6298012,-1.129378,-1.6302729,2_6
0.018530488,-0.1967452,-0.79607517,-0.017113475,-0.028692115,-0.0090449555,-0.93699163,-1.7438625,-1.5115674,2_6
0.015349103,-0.2011447,-0.79668206,-0.012095048,-0.029244272,-0.0064052697,0.42231134,0.11359197,-0.37381467,2_6
0.013048611,-0.20622715,-0.7967667,-0.0130890515,-0.047673516,0.0017996598,-0.5498027,-1.4304315,0.38019544,2_6
0.010914421,-0.21282089,-0.79659927,-0.0075562764,-0.060100503,0.00077387644,0.15797111,-0.21049012,-0.064162925,2_6
0.009388147,-0.22075905,-0.79630315,-0.008168154,-0.059640616,0.0010290998,-1.3285561,-0.20227568,-0.2358351,2_6
0.008968592,-0.2283088,-0.7959988,-0.0007308759,-0.065662675,-0.007562433,-1.7594031,-0.35860696,-1.9929961,2_6
0.009480991,-0.23602831,-0.79590887,0.0023196517,-0.074436314,-0.0030797864,-1.6836052,-0.9449814,-0.42738006,2_6
0.0107737,-0.24334595,-0.7958293,0.010897071,-0.06567216,-0.0015172742,-1.1742285,1.417222,-0.85264474,2_6
0.012656829,-0.24993972,-0.7958672,0.017089386,-0.06018929,-0.0011914831,0.33735988,0.057281896,0.39903823,2_6
0.01494699,-0.25549,-0.79675514,0.018281538,-0.05922395,-0.009954862,0.39285514,-1.1533456,0.95819867,2_6
0.017510828,-0.25892583,-0.7988667,0.019129751,-0.03060258,-0.0222493,-0.52724594,2.498332,0.59906197,2_6
0.020263156,-0.26040167,-0.8013989,0.020001866,-0.021954404,-0.018981574,-0.49335742,0.6782815,0.686967,2_6
0.02309923,-0.26020294,-0.80377966,0.026769157,-0.01273316,-0.018501809,0.21760108,-0.3653062,-1.356498,2_6
0.025932882,-0.25799805,-0.8061667,0.023782516,0.008773522,-0.014665223,-0.0346014,0.9408323,0.33750317,2_6
0.028491264,-0.25320807,-0.80804753,0.020774042,0.025451366,-0.013813805,-0.28074187,-1.3933988,-1.0974385,2_6
0.030492553,-0.24639668,-0.8095911,0.016594633,0.041710503,-0.0049171993,0.1922915,1.113874,0.46429235,2_6
0.031920295,-0.23758577,-0.8105877,0.015519807,0.064873055,-0.0014038158,0.49998575,0.3625915,-0.4796871,2_6
0.03281896,-0.22744636,-0.8108015,0.007808761,0.07031463,0.0038246883,-0.53334767,0.10323022,-0.18735985,2_6
0.032961242,-0.21721241,-0.8104551,0.0044712615,0.06537981,0.011071379,0.55065864,0.9384567,-0.16759904,2_6
