timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
20496000,20485000,0.097880185,0.097880185,0.21129672,0.26507962,0.26507962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.367775,0.0,0.0,nan,0.0,0.0,0.0905606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000000,21000000,0.097767144,0.09776714,0.21140413,0.26500005,0.26500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.367435,0.0,0.0,nan,0.0,0.0,0.09054221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21500000,21500000,0.09942476,0.099424765,0.21136104,0.2647444,0.2647444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.365571,0.0,0.0,nan,0.0,0.0,0.090522885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22004000,22004000,0.10719632,0.10719633,0.21139467,0.26490352,0.26490352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.365603,0.0,0.0,nan,0.0,0.0,0.09050788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22504000,22504000,0.1071941,0.10719414,0.21125126,0.2647461,0.2647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.364634,0.0,0.0,nan,0.0,0.0,0.0904919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22996000,22996000,0.10340903,0.10340905,0.2109762,0.2646604,0.2646604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.363483,0.0,0.0,nan,0.0,0.0,0.09047685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23500000,23500000,0.1000382,0.10003823,0.21002202,0.26513717,0.26513717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.364108,0.0,0.0,nan,0.0,0.0,0.090464704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24003000,24003000,0.10134411,0.1013442,0.2095346,0.26498428,0.26498428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.363686,0.0,0.0,nan,0.0,0.0,0.09045149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24500000,24500000,0.10222486,0.1022249,0.20933597,0.26486933,0.26486933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.362818,0.0,0.0,nan,0.0,0.0,0.09043772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25003000,25003000,0.10188509,0.1018851,0.2093536,0.26493198,0.26493198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.362405,0.0,0.0,nan,0.0,0.0,0.09042617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25504000,25504000,0.10084595,0.10084595,0.20947786,0.26490632,0.26490632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361892,0.0,0.0,nan,0.0,0.0,0.0904153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26003000,26003000,0.0997316,0.099731654,0.20967312,0.2650083,0.2650083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361274,0.0,0.0,nan,0.0,0.0,0.09040614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26504000,26504000,0.09874572,0.09874585,0.20982638,0.26482645,0.26482645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361319,0.0,0.0,nan,0.0,0.0,0.09039632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
