timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
5692000,5687000,2.6588816e-11,6.3662956e-06,0.011414879,0.00014066102,0.0022543354,0.002334665,512,0,0.49687332,0.7963198,0.0,nan,nan,0.0015539849,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5886000,5884000,2.5628385e-11,6.2787844e-06,0.010745731,0.00012446685,0.0018588323,0.00179309,512,0,0.49080554,0.78977185,0.0,nan,nan,0.00050605537,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6083000,6080000,2.5821905e-11,6.369538e-06,0.01253811,0.000100277175,0.0014764469,0.0014479398,512,0,0.476202,0.79983664,0.0,nan,nan,8.9411544e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6288000,6281000,2.655071e-11,6.661215e-06,0.01400972,5.149379e-05,0.00072111515,0.0007830087,512,0,0.46702978,0.7928101,0.0,nan,nan,0.0012409783,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6488000,6484000,2.6448583e-11,6.6846414e-06,0.012146416,1.6044474e-05,0.0011965914,0.002497421,512,0,0.46324614,0.78942,0.0,nan,nan,0.0018638155,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6687000,6683000,2.5939462e-11,6.610625e-06,0.011159491,6.519713e-05,0.0015151275,0.0021021895,512,0,0.45329165,0.7816445,0.0,nan,nan,0.00038616336,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6887000,6883000,2.6043447e-11,6.205156e-06,0.011868378,0.0010426978,0.0009945467,0.0010886764,531,0,0.5673645,0.77389276,0.009878851,nan,nan,0.0001471104,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7088000,7084000,2.3847707e-11,6.074567e-06,0.01165354,0.00037646102,0.0015951408,0.0024975352,531,0,0.53711754,0.76667726,0.00030485145,nan,nan,0.00061615906,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7287000,7282000,2.4912692e-11,6.1900614e-06,0.012293978,0.00021704295,0.0015796527,0.002421649,531,0,0.5097968,0.7781594,0.003112534,nan,nan,0.0007311123,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7491000,7488000,2.2924811e-11,6.0831e-06,0.012869699,0.00020420492,0.0014880017,0.0020049217,531,0,0.48930725,0.7705803,0.0054486296,nan,nan,0.00048512343,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7692000,7688000,2.4164231e-11,6.286832e-06,0.015015856,0.00025293074,0.0014707629,0.0021040216,531,0,0.4782861,0.7634947,0.0031725548,nan,nan,0.0023634764,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7876000,7872000,2.6031979e-11,6.4409583e-06,0.012735878,0.00026975563,0.0014276166,0.0018219091,531,0,0.46914092,0.77094764,0.0006112747,nan,nan,0.00068006903,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8087000,8083000,2.2681884e-11,6.22104e-06,0.013258341,6.831582e-05,0.0013791563,0.0018646427,531,0,0.47371322,0.7660905,0.011512635,nan,nan,0.0012800536,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8292000,8288000,2.3223708e-11,6.4523997e-06,0.014375289,0.00016745081,0.0015608589,0.002430343,531,0,0.47741988,0.75811607,0.006010479,nan,nan,0.0017183074,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8485000,8480000,2.2324174e-11,6.2831677e-06,0.011991162,0.00046712256,0.0015994142,0.002786123,531,0,0.48027122,0.75068736,0.0077103255,nan,nan,0.0009490664,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8688000,8683000,2.2049283e-11,6.120015e-06,0.011564175,0.00049764063,0.0019412416,0.004151306,531,0,0.48020312,0.7434636,0.009787406,nan,nan,0.0016711394,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8892000,8887000,2.3952982e-11,6.325063e-06,0.012151909,0.00017187066,0.00085477054,0.0011065907,531,0,0.47879297,0.73655003,0.007661475,nan,nan,0.0019740395,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9092000,9088000,2.8278104e-11,6.632602e-06,0.01274991,0.00018316673,0.0015547007,0.0034367542,531,0,0.47558832,0.72979,0.0048199086,nan,nan,0.0007027147,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9288000,9284000,2.998317e-11,7.0497763e-06,0.014932056,0.00019296922,0.00080480485,0.0015455382,531,0,0.46141055,0.7176955,0.008256112,nan,nan,0.0003046647,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9484000,9480000,2.8458512e-11,7.1230775e-06,0.015091349,4.8676597e-05,0.0013504113,0.0033278242,531,0,0.4598912,0.7145772,0.001873947,nan,nan,0.00084033463,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9684000,9680000,2.6525969e-11,7.107924e-06,0.015580905,5.6241814e-05,0.00077029783,0.00192158,531,0,0.45354584,0.7260976,0.0024955315,nan,nan,0.00014936832,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9888000,9884000,2.7030858e-11,6.8749086e-06,0.0136660505,0.00014125915,0.00091372523,0.0021822148,531,0,0.44194898,0.71891814,0.009032336,nan,nan,0.0004614546,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
10088000,10084000,2.6991232e-11,6.522321e-06,0.0125837345,7.594447e-05,0.0008591693,0.002618349,535,0,0.36430052,0.6945527,0.008308578,1.1754944e-38,1.1754944e-38,3.3542794e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10291000,10287000,2.4528754e-11,6.49504e-06,0.013829385,5.1020215e-05,0.00065228384,0.013562263,535,0,0.2974509,0.64755505,0.002250877,0.0053387815,0.020139595,0.0015359694,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10490000,10483000,2.289527e-11,6.210393e-06,0.013226897,3.9489354e-05,0.0021854825,0.01566565,535,0,0.25996694,0.61956507,0.0011539438,0.0048553585,0.038459137,0.0009200003,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10684000,10680000,2.4617757e-11,6.4654605e-06,0.014376409,0.00013231294,0.001786572,0.006565378,535,0,0.23592603,0.5872391,0.0019866342,0.0069523375,0.03298702,0.00014635129,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10887000,10883000,2.6590678e-11,6.35982e-06,0.0147991255,8.8200315e-05,0.001469367,0.011081855,535,0,0.21895467,0.5597367,0.00037920685,0.0013250818,0.032751713,0.00056744175,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11086000,11084000,2.7249276e-11,6.702525e-06,0.017395714,0.00012674651,0.001887376,0.00388963,535,0,0.20789097,0.536995,0.0031663051,0.007899655,0.0021514718,0.00096332986,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11293000,11288000,2.8715379e-11,6.8962177e-06,0.017360125,0.00020377549,0.0012244916,0.0048426823,535,0,0.1995687,0.5169681,0.010223353,0.0019270988,0.030879142,0.0002516004,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11483000,11479000,2.725865e-11,6.6996663e-06,0.017240958,7.519222e-05,0.0012046333,0.0057567013,535,0,0.19260417,0.50409055,0.0005436165,0.0022644065,0.033198852,0.0013532533,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
