timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
33575000,33575000,0.0002690488,0.0002261358,-2.0367012e-05,0.60965455,0.0,0.0,0.0,-1.0
33620000,33620000,-0.00041271877,0.00021019779,9.047318e-05,0.6091788,0.0,0.0,0.0,-1.0
33672000,33672000,0.000789035,0.0003685865,1.3551314e-05,0.6091549,0.0,0.0,0.0,-1.0
33720000,33720000,5.477428e-06,-0.00046849888,6.604265e-05,0.6091599,0.0,0.0,0.0,-1.0
33772000,33772000,-0.0005510567,-0.00028673312,-5.504923e-05,0.60889107,0.0,0.0,0.0,-1.0
33823000,33823000,0.00031729913,0.00028747466,-2.9448387e-05,0.6089932,0.0,0.0,0.0,-1.0
33872000,33872000,-0.00022080215,0.0002681259,-9.847721e-05,0.6092422,0.0,0.0,0.0,-1.0
33920000,33920000,-0.00041095755,-0.00062094035,-4.8142057e-05,0.60916334,0.0,0.0,0.0,-1.0
33972000,33972000,-4.6240268e-05,1.495902e-05,-0.00021784786,0.60935146,0.0,0.0,0.0,-1.0
34020000,34020000,-0.0008060998,0.00044665902,-4.2094434e-05,0.60946727,0.0,0.0,0.0,-1.0
34070000,34070000,0.00028384695,0.00054261985,-1.8849674e-05,0.6094489,0.0,0.0,0.0,-1.0
34120000,34120000,0.0005138943,0.00024185551,-7.6244265e-05,0.60923445,0.0,0.0,0.0,-1.0
34172000,34172000,0.00026282953,-0.0011669046,5.7305217e-05,0.6087011,0.0,0.0,0.0,-1.0
34220000,34220000,-0.00053531234,0.00063427794,7.0757116e-05,0.60832155,0.0,0.0,0.0,-1.0
34272000,34272000,-0.00033139484,0.00026815775,-9.44576e-05,0.6083489,0.0,0.0,0.0,-1.0
34320000,34320000,-0.00071698584,-0.00044667505,-4.0959578e-05,0.6082583,0.0,0.0,0.0,-1.0
34376000,34376000,0.0004956984,-7.8107e-05,-0.000100960904,0.6083038,0.0,0.0,0.0,-1.0
34416000,34416000,0.0008944619,0.0009778303,-6.0035756e-05,0.6086597,0.0,0.0,0.0,-1.0
34471000,34471000,-0.00017842976,0.0002780277,8.241441e-06,0.608939,0.0,0.0,0.0,-1.0
34520000,34520000,4.4041444e-06,-0.000674207,2.502513e-05,0.60910845,0.0,0.0,0.0,-1.0
34572000,34572000,0.00015254956,0.000552316,-2.3243787e-05,0.6093372,0.0,0.0,0.0,-1.0
34620000,34620000,-0.00018740896,-1.4232763e-05,6.609343e-05,0.6092301,0.0,0.0,0.0,-1.0
34672000,34672000,0.00012237098,-0.00020587232,-6.753038e-06,0.6091693,0.0,0.0,0.0,-1.0
34720000,34720000,4.7605965e-05,0.00019573145,-1.0232946e-05,0.6086239,0.0,0.0,0.0,-1.0
34772000,34772000,0.00036047358,0.0007375231,-0.00017025536,0.6084274,0.0,0.0,0.0,-1.0
34820000,34820000,-0.00018377976,2.0945736e-05,7.5936376e-05,0.6087451,0.0,0.0,0.0,-1.0
34867000,34867000,1.5169342e-05,-0.0011336836,-3.4227898e-05,0.6090891,0.0,0.0,0.0,-1.0
34920000,34920000,-0.0003367748,0.00026488802,-5.3417683e-05,0.6093921,0.0,0.0,0.0,-1.0
34972000,34972000,-0.00012078209,0.00061428896,0.00017241499,0.6090757,0.0,0.0,0.0,-1.0
35024000,35024000,0.0003321252,0.0002334067,-4.8272435e-05,0.60890615,0.0,0.0,0.0,-1.0
35072000,35072000,0.0004966309,-6.2325504e-05,-4.2694002e-05,0.60883325,0.0,0.0,0.0,-1.0
35120000,35120000,-0.00064532505,-0.0005968764,-7.736755e-05,0.6090252,0.0,0.0,0.0,-1.0
35170000,35170000,-0.00021975035,-0.00041167467,-8.178156e-05,0.6091427,0.0,0.0,0.0,-1.0
35220000,35220000,-0.00054240203,7.6471886e-05,2.3288001e-05,0.60895467,0.0,0.0,0.0,-1.0
35271000,35271000,-5.8020116e-05,0.000464754,-5.455876e-05,0.609013,0.0,0.0,0.0,-1.0
35319000,35319000,0.000643761,0.00035303633,-0.000133284,0.6090653,0.0,0.0,0.0,-1.0
35371000,35371000,0.0001563031,-0.00056153024,0.00020693809,0.60887706,0.0,0.0,0.0,-1.0
35419000,35419000,-0.00030267303,-0.00033759687,3.6479003e-05,0.60889024,0.0,0.0,0.0,-1.0
35472000,35472000,-0.001069858,0.00030802222,-1.6549882e-05,0.6090958,0.0,0.0,0.0,-1.0
35523000,35523000,0.00011067568,-0.00014514154,-4.0297553e-05,0.6088201,0.0,0.0,0.0,-1.0
35576000,35576000,0.00040352318,-0.0005554089,-1.9934054e-05,0.6089993,0.0,0.0,0.0,-1.0
35619000,35619000,0.0004932459,-3.2064883e-05,-0.00010505745,0.60913306,0.0,0.0,0.0,-1.0
35672000,35672000,-0.0002801422,0.0006855163,5.9230573e-05,0.60926676,0.0,0.0,0.0,-1.0
35719000,35719000,-7.720334e-05,0.00060275925,0.000112255395,0.6092242,0.0,0.0,0.0,-1.0
35772000,35772000,0.00013741024,-0.00036961638,-1.4588581e-05,0.60931885,0.0,0.0,0.0,-1.0
35821000,35821000,-0.00024863932,0.00034939547,2.1998345e-05,0.6093514,0.0,0.0,0.0,-1.0
35872000,35872000,1.5750993e-05,0.00033303027,8.016064e-05,0.609407,0.0,0.0,0.0,-1.0
35920000,35920000,-0.00060171256,-0.00079584814,0.000119705684,0.60925764,0.0,0.0,0.0,-1.0
35972000,35972000,-0.0006562513,-0.00011558208,6.597541e-05,0.6092362,0.0,0.0,0.0,-1.0
36019000,36019000,-0.000115163144,0.00047613648,7.462382e-05,0.6093142,0.0,0.0,0.0,-1.0
36071000,36071000,0.000229892,0.00039953916,-5.7865982e-05,0.60887676,0.0,0.0,0.0,-1.0
36119000,36119000,-0.00031369232,0.00030520733,-4.2035015e-05,0.6090836,0.0,0.0,0.0,-1.0
36172000,36172000,7.857561e-05,-0.00050706277,9.112877e-05,0.6091695,0.0,0.0,0.0,-1.0
36220000,36220000,-0.00022581739,8.930595e-05,-0.0001977022,0.60894185,0.0,0.0,0.0,-1.0
36272000,36272000,-0.0005697816,0.00063406816,-2.672247e-05,0.60881734,0.0,0.0,0.0,-1.0
36319000,36319000,0.00010235644,-0.00015086631,-7.8766665e-05,0.6090048,0.0,0.0,0.0,-1.0
36371000,36371000,0.00068076793,-0.0008389414,9.038499e-05,0.6087999,0.0,0.0,0.0,-1.0
36420000,36420000,0.0006127811,0.000117914096,7.4544274e-05,0.6090546,0.0,0.0,0.0,-1.0
36472000,36472000,0.00037114604,-6.859026e-05,-2.6695174e-05,0.60914767,0.0,0.0,0.0,-1.0
36520000,36520000,-4.1119867e-05,-0.00032381268,7.833653e-06,0.60906446,0.0,0.0,0.0,-1.0
36572000,36572000,-0.0007735021,-0.00010067635,6.243209e-06,0.6090706,0.0,0.0,0.0,-1.0
36619000,36619000,-0.000657804,-0.00019664958,-7.722914e-05,0.6086619,0.0,0.0,0.0,-1.0
36671000,36671000,-4.4199987e-05,0.00048442054,7.244003e-05,0.6088805,0.0,0.0,0.0,-1.0
36720000,36720000,0.00016630946,-0.0006933387,-0.00012504586,0.60886496,0.0,0.0,0.0,-1.0
36772000,36772000,0.001265368,0.00044786645,1.4660749e-05,0.6090798,0.0,0.0,0.0,-1.0
