x,y,z,vx,vy,vz,ax,ay,az,DTMode
-0.055047885,-0.033175442,-0.6462689,0.008152349,0.002406034,-0.012261246,-0.0074602826,-0.020518241,0.018348651,2_6
-0.054102816,-0.03135219,-0.64832675,0.007045362,0.0023903465,-0.012958661,-0.0067490996,0.0036422887,-0.03597885,2_6
-0.052046128,-0.029798754,-0.6506533,0.006862443,0.0020075142,-0.014513069,-0.012267366,0.0037705502,-0.0007525086,2_6
-0.050209858,-0.028305573,-0.6532747,0.0073201223,0.00076203654,-0.015526682,-0.016422162,-0.0039316625,0.01842901,2_6
-0.05000869,-0.02629223,-0.655654,0.0048068427,-0.0005425855,-0.01465514,-0.009311421,0.0022834719,0.06944872,2_6
-0.05105299,-0.024485493,-0.65772504,0.0017911679,-0.00196906,-0.011873883,-0.0072489553,0.011921707,0.009681097,2_6
-0.05132219,-0.023182211,-0.65952814,0.00015013044,-0.0027970204,-0.012339396,-0.01108574,-0.015191905,-0.021571666,2_6
-0.050024495,-0.022223607,-0.66112316,4.3066877e-05,-0.0029946864,-0.012709936,-0.018734535,0.0043082214,0.016025266,2_6
-0.047720414,-0.021791324,-0.66315097,-0.00039173118,-0.004461662,-0.012243224,-0.032943126,-0.019210463,0.037986252,2_6
-0.045909017,-0.022429127,-0.665385,-4.3962915e-05,-0.0062377728,-0.011111071,-0.013989377,-0.0012846394,0.0124592325,2_6
-0.044540294,-0.02410692,-0.6674715,-0.0009968131,-0.00867055,-0.009415568,-0.031929187,-0.015347365,-0.0008381903,2_6
-0.04291519,-0.026073193,-0.6692603,-0.0011723833,-0.009689154,-0.009814431,-0.011714279,0.007291763,-0.00022538005,2_6
-0.0420969,-0.027772145,-0.6708933,-0.0034753403,-0.009469238,-0.009151914,-0.018387752,0.020693611,-0.0016549601,2_6
-0.042683102,-0.028594095,-0.67217654,-0.006101767,-0.009223544,-0.008704819,-0.017720757,-0.008662929,0.034085788,2_6
-0.04423789,-0.028672744,-0.6731988,-0.0075345985,-0.009729119,-0.008832612,-0.012332285,-0.006249359,0.0031259325,2_6
-0.04522801,-0.028864264,-0.6741835,-0.0073890625,-0.010169128,-0.007599362,0.00082727725,-0.03206586,-0.023650935,2_6
-0.044697378,-0.02942862,-0.6752077,-0.006986532,-0.010556813,-0.008739004,-0.026329435,-0.005984083,-0.01712037,2_6
-0.042853367,-0.02984399,-0.6765268,-0.006662808,-0.009563087,-0.010646414,0.010456175,0.022500118,0.040531155,2_6
