timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
33973000,33973000,0.9999999,-0.0005666347,-0.00028092417,-3.2620355e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
34475000,34475000,0.99999964,0.00093101745,-0.00023128316,0.00013506651,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
34976000,34976000,0.99999976,0.00063049386,0.0001870642,0.00014983924,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
35477000,35477000,0.9999999,0.00024256021,0.0004078965,9.120922e-06,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
35972000,35972000,0.9999994,0.0004917307,-0.0010502109,0.00015249423,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
36475000,36475000,0.99999976,0.0003656076,-0.0006460116,0.0001037882,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
36964000,36964000,0.99999976,0.0003203966,-0.0006484559,7.433258e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
37475000,37475000,0.9999994,0.0008485512,-0.00069579796,6.487912e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
37968000,37968000,0.9999994,0.0011511288,9.471543e-05,1.4107743e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
38473000,38473000,0.999298,-0.008885257,0.002376982,0.036316276,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
38972000,38972000,0.9999863,0.0042790836,5.5288707e-05,0.0030456232,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
39472000,39472000,0.9999754,0.00020231848,-5.4750868e-05,-0.0070101274,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
39972000,39972000,0.9999793,0.0008947366,-0.00057378924,-0.0063420595,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
40472000,40472000,0.99998116,0.001123827,-0.00086234306,-0.005986398,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
40972000,40972000,0.999983,0.00080739823,-0.00061599124,-0.005753041,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
41472000,41472000,0.9999831,0.00050208066,-0.00026603966,-0.0057988004,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
41975000,41975000,0.999983,0.00023438777,-0.00012608524,-0.0058275834,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
42476000,42476000,0.9999831,0.00025132552,1.7664475e-05,-0.005820231,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
42976000,42976000,0.99998283,0.00023405792,4.886079e-07,-0.00585849,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
43475000,43475000,0.9999827,0.00018383893,1.1744846e-05,-0.0058849826,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
43972000,43972000,0.9999829,0.00023250672,2.809885e-07,-0.005851908,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
44477000,44477000,0.9999827,0.00022147757,1.715939e-05,-0.005873537,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
