timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
15316000,1310988,1310988,1310996,1311004,0,0.0023681275,0.0005469774,0.0023935055,0.0,1310988,1310988,1310996,1311004,0,0.00044663885,0.00019413138,0.00025880276,0.0,1,1,1,0,1,1,1,0
15516000,1310988,1310988,1310996,1311004,0,0.0017408481,0.0027014478,0.0017189286,0.0,1310988,1310988,1310996,1311004,0,0.0003394712,0.00016033629,0.00021813123,0.0,1,1,1,0,1,1,1,0
15715000,1310988,1310988,1310996,1311004,0,0.0013569063,0.0017740533,0.001189908,0.0,1310988,1310988,1310996,1311004,0,0.00047710116,0.00024110482,0.00026694871,0.0,1,1,1,0,1,1,1,0
15912000,1310988,1310988,1310996,1311004,0,0.002084549,0.0018928786,0.0033262258,0.0,1310988,1310988,1310996,1311004,0,0.00035841748,0.00017169969,0.00019578185,0.0,1,1,1,0,1,1,1,0
16112000,1310988,1310988,1310996,1311004,0,0.0006896205,0.0010299124,0.0016361316,0.0,1310988,1310988,1310996,1311004,0,0.00046299965,0.00024583048,0.00021866841,0.0,1,1,1,0,1,1,1,0
16315000,1310988,1310988,1310996,1311004,0,0.0017050279,0.000873354,0.0012797246,0.0,1310988,1310988,1310996,1311004,0,0.00038808986,0.00018068237,0.00020865828,0.0,1,1,1,0,1,1,1,0
16516000,1310988,1310988,1310996,1311004,0,0.0008990043,0.0013622084,0.0009096016,0.0,1310988,1310988,1310996,1311004,0,0.00044129658,0.00021091026,0.00023704431,0.0,1,1,1,0,1,1,1,0
16716000,1310988,1310988,1310996,1311004,0,0.001950437,0.0023122292,0.0026516959,0.0,1310988,1310988,1310996,1311004,0,0.00043906533,0.00025796876,0.00021062077,0.0,1,1,1,0,1,1,1,0
16915000,1310988,1310988,1310996,1311004,0,0.0029438583,0.0026409929,0.00053988816,0.0,1310988,1310988,1310996,1311004,0,0.0002692576,0.0001048114,0.00016683606,0.0,1,1,1,0,1,1,1,0
17115000,1310988,1310988,1310996,1311004,0,0.0023245888,0.0024392128,0.000664096,0.0,1310988,1310988,1310996,1311004,0,9.900655e-05,7.739134e-06,9.899576e-05,0.0,1,1,1,0,1,1,1,0
