timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
35988000,0.25168556,0.25231943,14.67112,1.0
35991000,0.30354005,0.30430403,14.670122,1.0
35995000,-0.24686696,-0.24748866,14.670999,1.0
36001000,-0.17402476,-0.17446278,14.670212,1.0
36011000,-0.24937929,-0.25000748,14.671375,1.0
36021000,-0.24150077,-0.24210867,14.670349,1.0
36028000,-0.21291956,-0.21345596,14.671477,1.0
36033000,-0.15588298,-0.15627547,14.670703,1.0
36037000,-0.13068108,-0.13101014,14.671122,1.0
36043000,0.040443093,0.040544953,14.671438,1.0
36048000,-0.22225058,-0.22281009,14.670811,1.0
36052000,0.08895325,0.089177184,14.670763,1.0
36061000,0.17890121,0.17935172,14.671208,1.0
36067000,-0.24501315,-0.24562973,14.670267,1.0
36071000,0.13816781,0.13851558,14.670532,1.0
36079000,-0.17652662,-0.17697093,14.670524,1.0
36092000,-0.2840843,-0.28479925,14.670308,1.0
36095000,-0.2845383,-0.28525445,14.67036,1.0
36103000,0.14537351,0.14573951,14.670847,1.0
36111000,-0.24178983,-0.24239835,14.67031,1.0
36115000,0.26682648,0.26749808,14.670477,1.0
36119000,-0.15017225,-0.15055014,14.670059,1.0
36123000,0.29150975,0.29224366,14.67074,1.0
36131000,-0.09785672,-0.09810321,14.671567,1.0
36139000,0.11707178,0.11736677,14.671338,1.0
36144000,-0.107022494,-0.107292,14.670418,1.0
36151000,-0.23326355,-0.23385125,14.671117,1.0
36160000,-0.24098726,-0.24159451,14.6714,1.0
36164000,0.30457923,0.3053467,14.671282,1.0
36167000,0.115334824,0.11562534,14.670798,1.0
36172000,-0.13219827,-0.1325313,14.670917,1.0
36175000,-0.2342573,-0.23484737,14.670841,1.0
36183000,-0.21403985,-0.21457879,14.670249,1.0
36192000,0.12650779,0.12682612,14.670888,1.0
36195000,0.23410185,0.23469113,14.671408,1.0
36199000,-0.18895102,-0.18942665,14.671402,1.0
36203000,-0.12873061,-0.12905447,14.67065,1.0
36212000,-0.26984257,-0.2705217,14.67118,1.0
36216000,0.035993215,0.036083743,14.670294,1.0
36220000,0.2812462,0.28195366,14.670529,1.0
36223000,-0.16146772,-0.16187416,14.671402,1.0
36233000,0.27149424,0.2721772,14.67046,1.0
36243000,-0.2844275,-0.28514332,14.671095,1.0
36251000,0.2864696,0.28719068,14.671227,1.0
36259000,-0.27247438,-0.27315977,14.670321,1.0
