timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
1424000,-1.0638641e-10,0.0005326322,0.00053263217,5000,0,-0.01316811,0.017956683,-9.752781,5000,0
1432000,-5.910358e-11,0.0010652647,0.00079894846,8000,0,-0.007182605,0.013168281,-9.751583,8000,0
1439000,-1.7731058e-11,0.00079894846,0.00053263234,4000,0,-0.0023942022,0.009576979,-9.822214,4000,0
1451000,-0.00053263246,0.00026631597,-0.0005326323,4000,0,-0.021547817,-0.0011969291,-9.849746,4000,0
1456000,-0.0002663161,0.000532632,-0.0010652645,5000,0,-0.008379705,0.005985676,-9.847351,5000,0
1461000,1.1820711e-10,0.00053263217,-0.0005326322,5000,0,0.011971009,0.017956683,-9.821014,5000,0
1471000,-0.000266316,0.00026631606,0.0010652646,7000,0,0.011971008,0.022745088,-9.782708,7000,0
1480000,-0.00026631614,0.00026631606,0.00079894834,9000,0,0.0,0.014365382,-9.813833,9000,0
1483000,0.0005326318,0.00079894875,0.00026631585,3000,0,0.001197101,-0.0011969294,-9.838972,3000,0
1487000,0.0007989484,0.0007989485,-3.924892e-11,4000,0,0.0,-0.009576637,-9.831791,4000,0
1492000,0.0002663161,0.0005326322,8.022046e-11,5000,0,-0.008379706,-0.004788232,-9.811439,5000,0
1496000,0.00026631617,0.00053263234,9.296187e-12,4000,0,-0.0047884043,1.713046e-07,-9.815032,4000,0
1499000,0.0005326322,0.0005326322,-3.798667e-11,3000,0,0.003591303,-0.0035911317,-9.810242,3000,0
1503000,0.0,0.00053263234,8.0220476e-11,4000,0,0.008379708,-0.002394031,-9.787498,4000,0
1508000,-0.0005326322,0.0002663161,-0.000266316,5000,0,0.011971008,0.0047885743,-9.782707,5000,0
1512000,-0.00053263246,-0.0002663163,-0.00079894834,4000,0,0.015562311,0.007182777,-9.809044,4000,0
1519000,-0.0002663163,-0.0010652647,-0.0007989482,3000,0,0.003591303,0.0023943738,-9.842564,3000,0
1524000,0.00026631608,-0.00079894846,-0.000532632,5000,0,0.0023942017,0.011971178,-9.842564,5000,0
1528000,0.0005326324,-0.00026631626,-0.00026631603,4000,0,0.005985504,0.016759586,-9.836578,4000,0
1532000,0.00026631614,-7.557239e-11,0.0002663162,4000,0,0.008379708,0.016759586,-9.827002,4000,0
1535000,-0.00026631617,0.00026631606,0.00053263234,3000,0,0.014365212,0.017956685,-9.84017,3000,0
1540000,-0.0005326322,0.00053263217,0.0005326322,5000,0,0.019153614,0.017956685,-9.855732,5000,0
1543000,-0.00026631606,0.00026631617,0.0005326322,3000,0,0.015562311,0.016759587,-9.850944,3000,0
1553000,-0.00026631608,-2.2379161e-11,0.0002663161,10000,0,0.007182604,0.013168281,-9.8198185,10000,0
1559000,-0.0002663161,-5.910357e-11,-1.0315517e-18,6000,0,0.003591303,0.02274509,-9.77313,6000,0
1568000,0.0002663161,-9.296186e-12,0.0005326322,5000,0,0.010773907,0.020350883,-9.804256,5000,0
1576000,0.00026631614,0.0005326322,2.7027255e-11,5000,0,0.0023942017,0.011971178,-9.801862,5000,0
