timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
35988000,0.0007994741,-0.0023579083,0.0,0.0,0.9999992,0.00039973677,-0.0011789538,4.7127153e-07,0.0,0.0,-0.6087721,0,0,0,0,0
36043000,0.00085893273,-0.00203711,0.0,0.0,0.9999994,0.00042946616,-0.0010185548,4.3743506e-07,0.0,0.0,-0.6088805,0,0,0,0,0
36092000,0.0012326725,-0.002296836,0.0,0.0,0.99999917,0.0006163357,-0.0011484175,7.0781135e-07,0.0,0.0,-0.6089297,0,0,0,0,0
36139000,0.0013316604,-0.0021037043,0.0,0.0,0.9999992,0.00066582987,-0.0010518518,7.0035475e-07,0.0,0.0,-0.60895866,0,0,0,0,0
36192000,0.0011076194,-0.0019442155,0.0,0.0,0.99999934,0.00055380946,-0.00097210746,5.383626e-07,0.0,0.0,-0.6087339,0,0,0,0,0
36243000,0.0010379441,-0.0015035073,0.0,0.0,0.9999996,0.0005189719,-0.00075175345,3.901391e-07,0.0,0.0,-0.6085672,0,0,0,0,0
36288000,0.0008408099,-0.0012950774,0.0,0.0,0.9999997,0.00042040486,-0.00064753863,2.7222845e-07,0.0,0.0,-0.6084863,0,0,0,0,0
36340000,0.0009397181,-0.0010120667,0.0,0.0,0.99999976,0.000469859,-0.0005060333,2.3776435e-07,0.0,0.0,-0.6084991,0,0,0,0,0
36388000,0.00061084994,-0.0013754416,0.0,0.0,0.9999997,0.00030542494,-0.0006877207,2.1004709e-07,0.0,0.0,-0.6084638,0,0,0,0,0
36448000,0.00046067373,-0.00070925016,0.0,0.0,0.9999999,0.00023033682,-0.00035462502,8.168322e-08,0.0,0.0,-0.6088969,0,0,0,0,0
36496000,0.0004932524,-0.000974061,0.0,0.0,0.9999998,0.0002466262,-0.0004870305,1.2011449e-07,0.0,0.0,-0.6090534,0,0,0,0,0
36539000,0.00044542318,-0.0012126535,0.0,0.0,0.9999998,0.00022271156,-0.0006063266,1.3503598e-07,0.0,0.0,-0.6089987,0,0,0,0,0
36591000,0.00025585477,-0.001061429,0.0,0.0,0.9999999,0.00012792736,-0.00053071446,6.7892906e-08,0.0,0.0,-0.60869306,0,0,0,0,0
36640000,0.0005669737,-0.00093307754,0.0,0.0,0.9999999,0.00028348682,-0.00046653874,1.322576e-07,0.0,0.0,-0.60895896,0,0,0,0,0
36687000,0.0005483152,-0.0008787687,0.0,0.0,0.9999999,0.00027415753,-0.00043938428,1.2046054e-07,0.0,0.0,-0.6087642,0,0,0,0,0
36737000,0.0006679419,-0.00093013764,0.0,0.0,0.9999999,0.0003339709,-0.0004650688,1.5531948e-07,0.0,0.0,-0.6087344,0,0,0,0,0
36792000,0.00064715307,-0.0011701849,0.0,0.0,0.9999998,0.00032357653,-0.0005850924,1.893222e-07,0.0,0.0,-0.6091394,0,0,0,0,0
36841000,0.0006980122,-0.0011405782,0.0,0.0,0.99999976,0.00034900603,-0.00057028903,1.9903435e-07,0.0,0.0,-0.60919756,0,0,0,0,0
36892000,0.0005245239,-0.0012300467,0.0,0.0,0.99999976,0.0002622619,-0.00061502325,1.6129721e-07,0.0,0.0,-0.60912454,0,0,0,0,0
