timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
29960000,735000,1,1310988,6620172,1310988,197388,0.013508033,0.013743954,0.013742045,0.01351226,0.0137220435,0.013721835,nan,nan,nan,0.0,0.44251487,0.53301644,1.0,0.5293292,0.59936994,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
30968000,735000,1,1310988,6620172,1310988,197388,0.011862329,0.011803236,0.011801761,0.011847552,0.011830672,0.011824775,nan,nan,nan,0.0,0.4624936,0.5434526,1.0,0.5448461,0.61800784,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
31971000,735000,1,1310988,6620172,1310988,197388,0.0096996315,0.009768939,0.009753102,0.009697193,0.009769175,0.009767605,nan,nan,nan,0.0,0.4847124,0.56653076,1.0,0.55438745,0.62860304,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
32979000,735000,1,1310988,6620172,1310988,197388,0.01314189,0.013050451,0.013049353,0.013184699,0.013050755,0.013052061,nan,nan,nan,0.0,0.51390535,0.6072145,1.0,0.57741046,0.6574889,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
33981000,735000,1,1310988,6620172,1310988,197388,0.021495717,0.021548303,0.021548545,0.021405807,0.02155301,0.021551158,nan,nan,nan,0.0,0.52397287,0.6194643,1.0,0.5880067,0.6709712,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
34991000,735000,1,1310988,6620172,1310988,197388,0.011480788,0.011358608,0.011356472,0.01162629,0.01138699,0.011390808,nan,nan,nan,0.0,0.53625053,0.6438279,1.0,0.59041315,0.6874134,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
36001000,735000,1,1310988,6620172,1310988,197388,0.008875972,0.008953755,0.0089539355,0.0091668805,0.008966494,0.008968793,nan,nan,nan,0.0,0.551033,0.6622078,1.0,0.60771996,0.7086279,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
37003000,735000,1,1310988,6620172,1310988,197388,0.0128234085,0.012742793,0.0127543975,0.013014493,0.012769986,0.012772299,nan,nan,nan,0.0,0.57802325,0.69024366,1.0,0.62390643,0.73508745,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
38012000,735000,1,1310988,6620172,1310988,197388,0.01103014,0.011717411,0.011695086,0.010899619,0.01172349,0.011721306,nan,nan,nan,0.0,0.6118479,0.7275628,1.0,0.64938456,0.7691519,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
39020000,735000,1,1310988,6620172,1310988,197388,0.038137753,0.037488922,0.03749712,0.038067885,0.037580363,0.037580024,nan,nan,nan,0.0,0.6156176,0.747854,1.0,0.6910431,0.7902331,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
40023000,735000,1,1310988,6620172,1310988,197388,0.006880139,0.006241763,0.006144805,0.0070089214,0.0064276466,0.006409049,nan,nan,nan,0.0,0.83518213,0.8429108,1.0,0.83498895,0.80842346,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
41024000,735000,1,1310988,6620172,1310988,197388,0.01750926,0.013840402,0.013844124,0.016947629,0.013805662,0.013798755,nan,nan,nan,0.0,0.83683515,0.84456134,1.0,0.84434247,0.81775737,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
42028000,735000,1,1310988,6620172,1310988,197388,0.007012589,0.009455961,0.0059230225,0.010533046,0.0058790217,0.0058717085,nan,nan,nan,0.0,0.8877465,0.89491796,1.0,0.89470154,0.86806184,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
43037000,735000,1,1310988,6620172,1310988,197388,0.012935125,0.013966553,0.013965522,0.012823412,0.0140214395,0.014014929,nan,nan,nan,0.0,0.92557967,0.9255627,1.0,0.9352846,0.8995802,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
44043000,735000,1,1310988,6620172,1310988,197388,0.0043872306,0.004127321,0.004126305,0.004314575,0.004160266,0.0041531664,nan,nan,nan,0.0,0.9649036,0.96483904,1.0,0.98069507,0.9406251,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
